product_description,product_url,image_url,price,delivery_time,pickup_availability,cancellation_policy,product_status,product_views,
Neues AngebotNothing Phone 3 12/256GB Schwarz,https://www.ebay.de/itm/336062810915?_skw=phones&itmmeta=01K00FBEBTM1KK3HKMX7PNA3NA&hash=item4e3ee78b23:g:2DIAAeSw4jxoclhA&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cQbFDlyKoGCZlHtyzJbN0NbLSO6odXwJuzOLo%2BoS%2Fy2DRyxYJH%2Fr1L6MtolQ4BiHwNjydEJtVXXJpU2zzFbAyEKVerQEIeW%2FEKNcP4ZH0FN8EoCulY8lU%2FWe9Ticydazy6DbSsPx8%2FtU0xrkFMUWk1POnKSe9Jzx9Xy%2BWF3pnvCW7Db%2FL4qfraoJRxluweTsTGrtyYygcun27MGU5uhoJ0Z08qKXbpMsC1DdvUVofphi0moGQhMXQXbcWsN0cJl4HefmLJTMqzUsvlHXeOAZNX%7Ctkp%3ABk9SR7rmrY-AZg,https://i.ebayimg.com/images/g/2DIAAeSw4jxoclhA/s-l500.webp," 789,00",Not Applicable,N/A,Return Not Possible,Refurbished,0,
Nothing Phone (1) Dual-SIM Smartphone 8/256GB Weiß White - Sehr Gut,https://www.ebay.de/itm/336037196293?_skw=phones&epid=13055631314&itmmeta=01K00FN159YRTWVD51YS4E533P&hash=item4e3d60b205:g:x44AAeSwk7xoXqr6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eofEzCr%2F5tswlFqUkbdx5jtlKJ6HVHFM%2FbHa3gmZEVVmeV3o9xuW1m7zUo4VmT7Q5A96L%2BgQGizhV34v6QVSwBW0Kei%2Bj73cc11R4QF5HjMHdpgcNQjkkEKHmrXkfjdz8J8y6C0FWRHjzy2MkAp8hYlpjx%2Fo%2Fw1sWkGjtk%2FAdHeoQVthRTaiLSWZd3qyvnm1O9S%2F641Ux%2FQ0ZRubvxMN24I225rbw7m9ac4N4w6Mw3s1opZoVItrpE6nGjJ6fYtIU3L5zMVKiIbuWLN7oboW%2BP%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/x44AAeSwk7xoXqr6/s-l500.webp," 201,00",Gratis 1-2 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Refurbished,0,
Siemens ME 45  schwarz-grau  Handy Kult Phone Telefon Rarität TOP,https://www.ebay.de/itm/257007399023?_skw=phones&itmmeta=01K00FN1593V04S2P8JPRN4KWQ&hash=item3bd6d5b06f:g:-ysAAeSwyKdobLJ~&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e0PHNWBLXYeE2Eunjw22lBC5kU9nkTHhRkbXFFGW2MacIPc0%2Bspe1rFJSFLGbFTwId2AHOZthrRUKp3VW0X4rs5jU4HbOapRK5qFA7qQIZvigVAnD6wgn0fKIUxQ88GK276oVdx7pVrYSx9s1zVWQYlX6Pj%2FR1h4KHI01oW9a6ti78ZjJu458yHLTJnKP%2B1bXTtjKzuihk0DG4xpAxABh6qtdIPoRfG%2B%2BVj1NDiDiG1w%3D%3D%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/-ysAAeSwyKdobLJ~/s-l500.webp," 35,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
"2024 DOOGEE V20S 6,43 Zoll 2K Outdoor Handy 32GB+256GB Android 13 Phone 5G-Netz",https://www.ebay.de/itm/355582158835?_skw=phones&itmmeta=01K00FN159Y2VE5JASJKPJ5R3V&hash=item52ca5927f3:g:byIAAOSws0FmA~lS&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cgse08himrnLL14C0D3mEl0n9aYRNH5LfpbG4vhFjCsl2DZbBbG4oNLP2YsXaP3cB0lKWp7j5ATzSaRozpRSPXzj2QQldvuUXH7%2Bt2pJzkR7yzEQW7gAjcbsDIUX8siHRVKt1FGxeF4OuoI56VS4Sy5OM77aqDlNwAlMd0AEk7BWOXj%2FcgNFK15JJ5vx%2B6SJJttOiisZ42my02%2FOLPEqMNv6TGddThhK98m3FddoPL0g%3D%3D%7Ctkp%3ABlBMUIaT1I-AZg,https://i.ebayimg.com/images/g/byIAAOSws0FmA~lS/s-l500.webp," 359,00",Gratis 2-3 Tage Lieferung,Delievery to Pickup Point Possible,Seller Pays Return Shipping,Direkt von DOOGEE,0,
"Original  Nokia 7.1 Dual SIM Card 32GB 64GB 5.84"" Unlocked Smartphone Phone",https://www.ebay.de/itm/156514571236?_skw=phones&itmmeta=01K00FN1596P5C5FC4BCPEHH2N&hash=item2470fed3e4:g:yw8AAOSwsz5k2I17&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ft243UHurB97a0bWnRf8z7hrKetky6HFNXX0EUbvCTp3ZoTYYjsA5C5LByULu7yIGGr6%2BWmiVmYTVrvnTvOStVOTFu2OkG%2BEjSHBtqLaewbhsAU46oA%2F6vrkqC1Zh%2Bsyc7Z%2FsplZxFDGBAA1d3QMisVTgK1FCLRUcEysTMN4vAPCXsbShfKVDd%2FwhkzGG%2Bm0sPf9SQDP2IJnovOOijkDLPf5iaGml2EbpOks6tB08vvA%3D%3D%7Ctkp%3ABlBMUIaT1I-AZg,https://i.ebayimg.com/images/g/yw8AAOSwsz5k2I17/s-l500.webp," 123,75bis 142,79",Not Applicable,N/A,Return Not Possible,Refurbished,0,
nokia 105 dual sim,https://www.ebay.de/itm/256999485659?_skw=phones&epid=238796215&itmmeta=01K00FN159PXC1KXTNGP2Q6CTS&hash=item3bd65cf0db:g:SagAAeSwM5VoZSBE&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cZSjUwZ0MxN98Bv8M1njAco93ZxQCdjp4Az810BxxvQ1gEDh7PoH95kvK6o4ouBt5B23n4v7Fw8pHb1MATjRnbr1NG7gcGlDu4u%2FDtU4tzxBlL4fqF8FFL%2BU93d4FAnPONFkB5e3H658xE02Jap3sxx7C%2BJkEmPDij%2BrZuPwD%2FRwxgCjDnt59YGTRyXP%2Bccm7ki%2FPumU9acOZEBbUHQ6W%2FQZCp7sYNbEAVZOBY7iP96MwGx3pkcZSooEPMMzq7ZWeaCv0oo4mEFOgYteOui83V%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/SagAAeSwM5VoZSBE/s-l500.webp," 15,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,3,
"XGODY Neu Klapp Handy Dual SIM 2,4"" Smartphone Ohne Vertrag Loud Speaker Seniors",https://www.ebay.de/itm/156927796231?_skw=phones&itmmeta=01K00FN159J3A9KK85YDSJZXZZ&hash=item2489a02407:g:u~0AAOSwO4toC9O6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fbvElB9yMQh6VJOClh6N%2FckunimOKEY5lqRMphSqEpeZI%2BmAIqvxUEYSMGJW%2BxpBI%2FWsG8PSowRPjQpGl9MUGokfQLEQWYTBcE4LW6jMY7w9Ijw0NvvDP4AXBReWrFpcsS%2Fh65HzIxu%2BdBy8F5Qxg5lMQfQvAJ2ReVQFjqrqtS%2BeBboapTXyNTS4BzkVQCrs7D2UXCkjrsXYakr46HSNHP7Cx26Jbt9De7USTF5HpcicpUeTqIwk0WMShGIqNqEWw%2FtsB%2FXRR3K8qbQIf1KNZy%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/u~0AAOSwO4toC9O6/s-l500.webp," 30,66bis 32,66",Gratis 2-3 Tage Lieferung,N/A,Seller Pays Return Shipping,Direkt von XGODY,0,
L8Star BM10 Mini Handy Echtes Telefon Bluetooth Kein Simlock Phone Dual SIM GSM,https://www.ebay.de/itm/146673741642?_skw=phones&itmmeta=01K00FN159B9CQFF0G12FHY839&hash=item22266faf4a:g:GBwAAOSwliVlSzLL&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f2ezIOAAnsnKHe%2B4utjIfkRluFcBvBRGH6%2BOqD9%2Fmj2ruGseiRWnTUUztLvze9w%2BBCEsm3VMSSuMgMZh8VvprrXJ1aNA7Hhml3vFlBr367J0Dd6wkdBW%2Fl4L0iChkUbI2NDNh28noVtX1bOt8GSz%2Bn1TpuZ2ayreONUBA3nbSXO1p%2F3GxtJksAW97Rh3OOdUtRj6Ua0o5xI0cFZTxhyxJ1hIjoL13jOm0CjHL%2FHQDXb0EMCzHuhvYw%2Fg7X6G5OmcxPXh208iqWzn2zab7NATJw%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/GBwAAOSwliVlSzLL/s-l500.webp," 13,99",Not Applicable,N/A,Return Not Possible,Refurbished,4,
CAT S61 Single SIM 4G LTE 4/64GB Unlocked Android Smart Phone Schwarz,https://www.ebay.de/itm/376349621950?_skw=phones&epid=11021614520&itmmeta=01K00FN15998ZDWHKVD6EMZFS4&hash=item57a02f7ebe:g:SVwAAeSwzxBoUt0A&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eBXLVO5tsjAX6asPhrhYjlluX7k6wgo4r9pxuugpqMhbueryjBLYuvb9QUeL%2F6kUpcgIp9ISo715%2BfYYeJOQBzZoNleGfrYP4T58Shz%2B72%2BUEwY7ytOM9P8ewwzSQ4QwNzAFtqZD53ncYXkyITIsaGBC9lBja%2BWSbtDuNuvU70jqdDcIbPUD0GBiyW9C3wIt5Hk79E4KhdDuagFWry4j2mS3DKXK8wuBlc3FKgXMXB6A%3D%3D%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/SVwAAeSwzxBoUt0A/s-l500.webp," 299,99",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,3,#NAME?
Neues AngebotFairphone 4 256GB Garantie Dez 29,https://www.ebay.de/itm/388698835325?_skw=phones&itmmeta=01K00FN159DYG074BD0ZXT65PQ&hash=item5a8041897d:g:qBYAAeSw9~Bocilh&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dQoZKxevT5BgvNB85u8vE3%2B4l%2Ffie2OfHojlnyphO4Qdm9AI%2Fi6AS1QjnQ%2F5AfXPWZwcpiZAQZ5zUHJFPh3D2MZ7FXs8Dtv4VsLki8vmApDUqVGN%2F3t4DaGxg6nz6QfjlBrjLf45GmwEBiT9wqF5lNwDQte6ari4biDfDPGhEgw%2FmgTLfl4KNLKlCPdCCRWIoOU1FHk3dghuwvWuiF3GYMegM4wLZ6add%2Fs98XcApP2Q%3D%3D%7Ctkp%3ABk9SR4aT1I-AZg,https://i.ebayimg.com/images/g/qBYAAeSw9~Bocilh/s-l500.webp," 420,00",Not Applicable,Delievery to Pickup Point Possible,Return Not Possible,Refurbished,0,
